,Country,WS_MDG,WUE_SDG,WS_SDG,Temp,Rain,IRWR,ERWR,TRWR,Dep_ratio,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
112,MOZ,0.6784891755,7.6199412205,1.7514863258,24.374873287671235,898.3998075,100.3,116.8,217.1,0.5380009212344542,0.442,1.8204871430355947,0.4590570719602978,2.84,61.6,1240.6,57.0
113,MRT,11.8263157895,3.8327132725,13.2462173315,28.672631438356163,104.44873,0.4,11.0,11.4,0.9649122807017544,0.524,0.8930886296921589,0.9777397260273973,2.88,55.2,5041.0,63.8
115,MWI,7.8518518519,3.1015137279,17.5048380854,22.55395095890411,968.7185924999999,16.14,1.14,17.28,0.06597222222222221,0.482,4.982832303644232,0.9310344827586206,2.7599999999999993,37.8,1023.2,61.8
116,MYS,1.1563793103,55.0288788901,3.4394871795,26.061824452054797,2949.5480000000002,580.0,0.0,580.0,0.0,0.802,0.32543977333928487,0.93,1.36,7.0,24751.4,75.4
117,NAM,0.7063392633,35.2035981572,0.8615525672,21.485712671232875,251.318125,6.16,33.75,39.91,0.8456527186168881,0.643,1.0406076898668424,0.8615071283095722,1.8,33.6,10171.0,62.0
118,NER,5.131277533,3.6039932688,7.4539249147,28.131668835616434,183.275535,3.5,30.55,34.05,0.8972099853157123,0.373,5.116384565328518,0.486,3.88,52.2,1133.6,60.6
120,NIC,0.9380622417,6.9553928445,2.6924284717,25.495916164383566,1891.6736250000001,156.21,8.31,164.52,0.05051057622173596,0.653,0.7152988595169913,0.6988922457200404,1.3,16.6,5630.6,73.6
121,NLD,8.7784615385,44.2093052189,15.1668881716,10.749419801369863,757.9398249999999,11.0,80.0,91.0,0.8791208791208791,0.932,0.09797220501218788,1.0,0.44000000000000006,3.4,53397.6,81.8
122,NOR,0.6847582697,128.7703217022,2.0464638783,2.4404188287671236,1079.0728000000001,382.0,11.0,393.0,0.027989821882951654,0.953,0.22143403270444187,1.0,1.0,2.0,61792.4,82.2
123,NPL,4.5181255947,2.127185275,8.3118326623,12.695257328767124,1154.8900549999998,198.2,12.0,210.2,0.05708848715509039,0.574,4.1716880546263,1.00990099009901,0.575,29.8,2882.0,69.6
124,NZL,3.0198776758,33.3031227785,8.0480847596,10.338588815068494,1671.0693500000002,327.0,0.0,327.0,0.0,0.92,0.15652639370998328,1.0,1.6799999999999997,4.6,40366.8,81.4
125,OMN,116.7142857143,37.1225900436,116.7142857143,26.299489589041098,88.02229,1.4,0.0,1.4,0.0,0.833,0.1967505773040148,0.9015706806282722,5.74,10.0,30369.6,76.8
126,PAK,81.0372771475,1.4355679232,122.6918593951,20.837368438356165,327.4958,55.0,191.8,246.8,0.7771474878444085,0.558,1.7441191464112755,0.9574014909478168,2.1,62.2,4302.2,66.6
127,PAN,0.8696089129,46.509821103,0.9010711098,26.036905753424662,2080.257625,136.6,2.704,139.304,0.019410785045655545,0.793,0.4844531417511286,0.9068577277379734,1.7,14.8,28414.6,77.8
128,PER,0.8566656027,11.0235258213,3.0010316516,19.97384732876712,1495.1798,1641.0,238.8,1879.8,0.1270347909352059,0.756,0.2866700948017352,0.7571115973741794,1.3,12.2,12124.4,75.8
129,PHL,19.363256785,3.375686298,28.3552430449,26.140507465753426,2420.0742,479.0,0.0,479.0,0.0,0.709,1.1421346507224865,0.9637139807897545,1.56,23.4,7353.2,70.6
135,PRY,0.6222760915,13.6155031771,1.835399711,23.794174794520547,1281.21525,117.0,270.77,387.77,0.6982747504964283,0.722,0.631321394142971,0.9490000000000001,1.3399999999999999,19.0,11879.6,73.6
137,QAT,432.4137931034,191.6389489422,432.4137931034,28.415541232876713,42.215325,0.056,0.002,0.058,0.034482758620689655,0.848,0.009307526598806137,1.0,4.3,6.6,97099.2,80.0
138,ROU,3.1946606292,25.4789127188,6.3411665574,10.609751178082194,704.5548449999999,42.38,169.63,212.01,0.8001037686901561,0.813,0.8540365768717928,1.0,-0.5,7.8,24284.4,75.0
140,RWA,1.3827067669,31.5170718382,6.0894039735,19.988808424657535,1319.5304525000001,9.5,3.8,13.3,0.2857142857142857,0.529,4.839264395832297,0.8302540415704389,2.54,31.4,1862.4,67.2
141,SAU,883.3333333333,28.2709852378,883.3333333333,25.918147876712332,65.71321,2.4,0.0,2.4,0.0,0.856,0.19585622414306209,1.0,2.54,7.2,48182.8,74.8
143,SEN,5.699127534,6.9448740267,11.8072833599,28.817160753424655,717.1533125000001,25.8,13.17,38.97,0.33795227097767516,0.51,1.1394927734298812,0.7244348762109795,2.8,36.4,2974.6,66.6
145,SLE,0.132625,8.1976020819,0.4957943925,26.635204931506852,2465.854195,160.0,0.0,160.0,0.0,0.435,1.4017820424077276,0.5630153121319198,2.2,92.2,1751.4,52.8
146,SLV,8.0624286258,9.990202639,13.2127261385,24.711420479452055,1783.512815,15.63,10.64,26.270000000000003,0.40502474305291203,0.665,0.40301979583809594,0.8871794871794871,0.5,13.2,8157.8,72.4
150,STP,1.876146789,7.4896411461,1.876146789,24.12313616438356,1847.1081750000003,2.18,0.0,2.18,0.0,0.603,0.38949752126813153,0.9464105156723962,1.9,27.0,3746.4,69.4
153,SVN,2.9224976467,42.5463375848,6.2974983097,10.31415865068493,1536.5011099999997,18.67,13.2,31.87,0.4141826168810793,0.899,0.8425259905463153,0.9969909729187563,0.1,2.0,34240.4,80.8
154,SWE,1.3649425287,194.0764722893,3.4271284271,3.2287207397260276,655.26525,171.0,3.0,174.0,0.017241379310344827,0.935,0.14750245404583526,1.0,1.1,2.0,51153.8,82.0
155,SWZ,23.6807095344,3.5324106712,77.559912854,20.91170191780822,723.878855,2.64,1.87,4.51,0.41463414634146345,0.603,3.2327748470663993,0.7361111111111113,0.8399999999999999,47.8,8353.6,55.2
158,TCD,1.924726477,8.359339149,4.294921875,27.819970205479454,361.52854,15.0,30.7,45.7,0.6717724288840262,0.401,3.374794362561375,0.6239554317548747,3.2199999999999998,76.0,1760.2,53.0
159,TGO,1.5170068027,13.4051660832,3.391634981,27.749250000000004,1090.764655,11.5,3.2,14.7,0.217687074829932,0.51,1.4294454864378159,0.48358862144420134,2.56,50.6,1443.8,59.8
160,THA,13.0655935797,7.2343182064,23.0139351833,26.99064095890411,1504.7663974999996,224.51,214.1,438.61,0.48813296550466245,0.762,1.0325203488995143,1.0040983606557377,0.4,9.2,16434.8,76.0
161,TJK,47.5572797809,0.6855031497,68.7412587413,4.442762178082192,537.85834,63.46,-41.55,21.910000000000004,-1.8963943404837968,0.651,2.706200304095317,0.7164339419978518,2.4,32.8,2839.6,70.2
164,TTO,8.7552083333,58.5755782246,20.3264812576,26.825803493150687,1454.3438999999998,3.84,0.0,3.84,0.0,0.799,0.8795147478330583,1.0,0.58,17.8,28187.8,73.0
165,TUN,103.315276273,7.8341194552,121.0674656578,20.84705383561644,256.0498525,4.195,0.42,4.615,0.09100758396533043,0.738,0.4568252877425647,0.932,1.0399999999999998,15.0,10492.0,76.0
166,TUR,28.3601134216,13.603152543,44.5740176781,12.241693171232876,580.5655174999999,227.0,-15.4,211.6,-0.07277882797731569,0.805,0.3396891998147647,1.0,1.6599999999999997,11.4,25882.0,76.6
167,TZA,5.384855095,6.9151704348,12.9632408102,23.05026506849315,1031.0326974999998,84.0,12.27,96.27,0.1274540355250857,0.522,2.025420438806708,0.5893782383419689,3.0,40.8,2363.4,62.8
168,UGA,1.0599001664,28.4657779257,5.8279963403,23.571654452054794,1391.889475,39.0,21.1,60.1,0.35108153078202997,0.522,3.3111660547365642,0.793717277486911,3.5,39.4,2041.8,61.4
169,UKR,4.9264034687,7.7495107124,11.1881316403,9.923937520547945,558.037375,55.1,120.18,175.28,0.6856458238247376,0.747,0.44413064507812366,1.024083769633508,-0.34,8.2,11921.0,71.2
171,USA,14.4801600448,42.378501264,28.1619842696,8.218410938356165,708.15605,2818.0,251.0,3069.0,0.08178559791463018,0.919,0.2186567690910452,0.987927565392354,0.6799999999999999,6.0,58237.6,79.0
172,UZB,120.5238387559,1.3377552584,168.9131058216,13.707806438356165,234.21310749999998,16.34,32.53,48.870000000000005,0.6656435440965828,0.707,0.9782236726562472,0.8213197969543148,1.6800000000000002,20.4,6037.2,70.8
175,VNM,9.2591503416,2.349447563,18.1303153792,24.860116712328765,1879.2630250000002,359.42,524.7,884.1200000000001,0.5934714744604804,0.69,1.8398842440296794,0.9778002018163472,1.04,17.2,6455.0,75.0
177,ZAF,37.740993184,14.6590967647,62.055715658,18.62071623287671,403.00293250000004,44.8,6.55,51.349999999999994,0.127555988315482,0.704,0.5186066759818972,0.8172690763052209,1.52,28.6,12796.6,62.6
178,ZMB,1.5,12.7648939827,2.8354978355,22.41276191780822,895.6486724999999,80.2,24.6,104.80000000000001,0.2347328244274809,0.589,1.3268650135896105,0.5992990654205608,3.06,46.6,3449.4,61.6
